d_codigo,Latitud,Longitud,c_estado
4300,19.31961332,-99.15935295,9
4310,19.34095791,-99.17595489,9
4318,19.34358256,-99.1827057,9
4320,19.34030525,-99.16583124,9
4330,19.33732223,-99.15634935,9
4340,19.33867681,-99.18653894,9
4360,19.33384043,-99.17782344,9
4369,19.32966436,-99.16757184,9
4370,19.33648013,-99.14424646,9
4380,19.32989289,-99.14882379,9
4390,19.32667803,-99.1479211,9
4400,19.33665748,-99.13445086,9
4410,19.33811146,-99.1349357,9
4420,19.33260295,-99.12555533,9
4440,19.33152085,-99.1140509,9
4450,19.3358261,-99.13897023,9
4460,19.32893925,-99.13514253,9
4470,19.32646471,-99.12534199,9
4480,19.32504934,-99.1195614,9
4489,19.32462571,-99.11108389,9
4490,19.32384695,-99.10838171,9
4500,19.30610384,-99.19916567,9
4510,19.32314861,-99.18515687,9
4519,19.33570524,-99.19492733,9
4530,19.30587815,-99.18631665,9
4600,19.3101561,-99.15304869,9
4610,19.32783107,-99.14047844,9
4620,19.32193576,-99.14150831,9
4630,19.31923022,-99.15163466,9
4640,19.31798537,-99.14299848,9
4650,19.30686642,-99.14892238,9
4660,19.30663954,-99.16008328,9
4700,19.3062893,-99.17040932,9
4710,19.30389709,-99.16974674,9
4730,19.3009647,-99.15692947,9
4739,19.30335236,-99.16201849,9
4800,19.31441658,-99.11830313,9
4810,19.31918059,-99.13248634,9
4815,19.32533899,-99.13705836,9
4830,19.31856661,-99.12803219,9
4840,19.31928636,-99.12099753,9
4870,19.31738569,-99.13517755,9
4890,19.31342379,-99.13063774,9
4899,19.31008667,-99.13082946,9
4909,19.3161949,-99.10328194,9
4910,19.31980671,-99.10933648,9
4918,19.31199518,-99.10877392,9
4919,19.31758494,-99.11009258,9
4920,19.30825115,-99.12248604,9
4929,19.30774248,-99.12009415,9
4930,19.30625877,-99.11403977,9
4938,19.30944838,-99.11646372,9
4939,19.30821145,-99.11021645,9
4940,19.30407186,-99.11842904,9
4950,19.30220425,-99.10893024,9
4960,19.30202896,-99.10396965,9
4970,19.30303038,-99.1126803,9
4980,19.30829846,-99.13749355,9
5000,19.35944676,-99.29732527,9
5010,19.35398798,-99.30838743,9
5020,19.34436412,-99.31279517,9
5030,19.36037876,-99.29694183,9
5050,19.35155134,-99.31969708,9
